Year, Company, Brand, FloorPlan, Msrp, Discount, Stock-Number, Unit Type, Location, Dealer, Date
2024,Grand Design,Imagine,2600RB,51230,37980,T87461,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Forest River RV,N/A,32RLTS,54161,39980,T84844,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,34BHTS,54271,39980,T97959,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Grand Design,Imagine,2500RL,51747,39980,T91654,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Grand Design,Imagine,2800BH,57281,41980,T87157,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Grand Design,Transcend,245RLT,42479,N/A,T97043,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Grand Design,Imagine,22MLE,43262,N/A,T98259,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Grand Design,Imagine,23LDE,46142,N/A,T91987,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Grand Design,Imagine,23LDE,47791,N/A,T77687,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Grand Design,Imagine,3210BH,65714,49980,T88239,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Grand Design,Reflection,297RSTS,70936,49980,T84632,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Grand Design,Transcend,335BHT,53284,49980,T94334,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Grand Design,Momentum,21G,71493,54980,T81000,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Grand Design,Imagine,2670MK,57444,N/A,T98221,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Grand Design,Imagine,2670MK,58083,N/A,T98214,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Grand Design,Reflection,296RDTS,70896,N/A,T92909,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,16BHX,23940,14995,T94823,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,16BHX,23940,14995,T94822,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,16BHX,23940,14995,T94821,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,16BHX,23917,14995,T97994,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,16BHX,23917,14995,T97993,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,16BHX,23917,14995,T97992,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Unknown,N/A,19BH,29287,16995,T96644,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Unknown,N/A,26BH,34451,20995,T96634,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,26BHS,37184,24995,T92585,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,26BHS,37184,24995,T94824,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,26BHS,37402,24995,T96181,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Unknown,N/A,26BHS,38388,25995,T92767,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Unknown,N/A,26BHS,38388,25995,T92766,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Unknown,N/A,26RLS,41231,25995,T96641,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Unknown,N/A,26RLS,41231,25995,T97252,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,24RBS,39794,28995,T92480,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,23MKS,37402,28995,T94892,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,24RBS,39794,29995,T92497,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,28BHS,41752,31995,T93976,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2024,Alliance RV,Delta,251BH,47995,33995,T84800,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,26FKDS,48980,36995,T92489,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,29TQS,47472,37995,T92507,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2024,Forest River RV,N/A,320BDS,55092,39995,T94063,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2024,Alliance RV,Delta,294RK,63582,42995,T84147,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2024,Alliance RV,Delta,294RK,63642,42995,T89937,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2024,Alliance RV,Delta,292RL,64083,49995,T84423,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Brinkley,Model Z,295,86620,N/A,T96878,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Brinkley,Model Z,285,89009,N/A,T96877,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Brinkley,Model Z,310,N/A,N/A,T99370,Travel Trailer,Springfield MO,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,210QB,33376,19995,T95729,Travel Trailer,Gassville AR,BlueCompass,2024-10-30
2025,Forest River RV,N/A,26BHS,37273,24995,T98093,Travel Trailer,Gassville AR,BlueCompass,2024-10-30
