"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2024","Forest River RV","FR3","30DS","196676","124995","94096","ClassA Gas","Louisville KY","Campersinn","2024-10-25"
"2024","Forest River RV","FR3","30DS","195876","131995","94561","ClassA Gas","Jacksonville North FL","Campersinn","2024-10-25"
"2024","Forest River RV","FR3","30DS","195876","129993","95447","ClassA Gas","Davenport IA","Campersinn","2024-10-25"
"2023","Forest River RV","FR3","30DS","187351","109993","81697","ClassA Gas","Mesa AZ","Campersinn","2024-10-25"
"2023","Forest River RV","FR3","32DS","193150","114993","85678","ClassA Gas","Phoenix AZ","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","34DS","201284","144997","96838","ClassA Gas","Toms River NJ","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","34DS","201284","145997","97545","ClassA Gas","Philadelphia PA","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","34DS","201584","149979","99155","ClassA Gas","Conway SC","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","34DS","203084","N/A","99157","ClassA Gas","Mocksville NC","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","34DS","201584","144995","99159","ClassA Gas","Louisville KY","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","34DS","203084","N/A","99162","ClassA Gas","Merrimack NH","Campersinn","2024-10-25"
"2024","Forest River RV","FR3","34DS","203523","134993","88229","ClassA Gas","Mesa AZ","Campersinn","2024-10-25"
"2024","Forest River RV","FR3","34DS","199041","124777","91537","ClassA Gas","Acworth GA","Campersinn","2024-10-25"
"2024","Forest River RV","FR3","34DS","205884","134993","91653","ClassA Gas","Phoenix AZ","Campersinn","2024-10-25"
"2024","Forest River RV","FR3","34DS","201284","134993","94722","ClassA Gas","Mocksville NC","Campersinn","2024-10-25"
"2024","Forest River RV","FR3","34DS","201284","134993","95671","ClassA Gas","Davenport IA","Campersinn","2024-10-25"
